axis	band	kind	key	en	ru	es	fr	ar
EI	E_81-100	description	EI.E_81-100.dim.5	Cannot function without meetings; arrives first, always speaks up, frequently initiates gatherings themselves, and gains a powerful emotional charge from meetings, often at the expense of other participants.	Не может жить без собраний, приходит первым, всегда высказывается, часто сам инициирует собрания, на собрании получает мощный эмоциональный заряд, часто за счёт других участников.	No puede funcionar sin reuniones; llega el primero, siempre toma la palabra, frecuentemente las inicia él mismo y obtiene una poderosa carga emocional de ellas, a menudo a expensas de los demás participantes.	Ne peut pas se passer de réunions ; arrive le premier, prend toujours la parole, les initie souvent lui-même et en tire une puissante charge émotionnelle, souvent au détriment des autres participants.	لا يستطيع الاستغناء عن الاجتماعات؛ يصل أولًا، ويتكلم دائمًا، وكثيرًا ما يبادر إلى عقدها بنفسه، ويستمد منها شحنةً عاطفيةً قويةً، غالبًا على حساب المشاركين الآخرين.
EI	E_81-100	description	EI.E_81-100.dim.6	Constantly shares their thoughts and ideas with everyone around them, often in an intrusive manner.	Постоянно всем рассказывает о своих мыслях и идеях, часто навязчиво.	Comparte constantemente sus pensamientos e ideas con todos los que le rodean, con frecuencia de manera intrusiva.	Partage constamment ses pensées et ses idées avec son entourage, souvent de manière intrusive.	يشارك أفكاره وآراءه مع الجميع بشكل دائم، وغالبًا بطريقة تدخلية مُلحّة.
EI	E_81-100	description	EI.E_81-100.dim.7	Cannot truly listen in conversation; interrupts and takes over, always acting as the initiator and center of any discussion.	В беседе не может слушать, перебивает и сам говорит, всегда инициатор и центр разговора.	No puede escuchar de verdad en una conversación; interrumpe y monopoliza el diálogo, actuando siempre como el iniciador y el centro de cualquier discusión.	Ne parvient pas à vraiment écouter en conversation ; interrompt et monopolise la parole, se positionnant toujours comme l'initiateur et le centre de toute discussion.	لا يستطيع الإنصات فعليًا في المحادثات؛ يقاطع الآخرين ويستأثر بالكلام، وهو دائمًا مَن يبادر ويكون محور أي نقاش.
EI	E_81-100	description	EI.E_81-100.dim.8	Constantly talks to themselves, frequently refers to themselves in the third person, thinks out loud, and even reads aloud.	Постоянно говорит сам с собой, часто говорит о себе в третьем лице, думает вслух и даже читает вслух.	Habla consigo mismo de forma continua, a menudo se refiere a sí mismo en tercera persona, piensa en voz alta e incluso lee en voz alta.	Se parle constamment à lui-même, se désigne souvent à la troisième personne, pense à voix haute et lit même à voix haute.	يتحدث مع نفسه باستمرار، وكثيرًا ما يشير إلى نفسه بضمير الغائب، ويفكر بصوتٍ عالٍ بل ويقرأ بصوتٍ عالٍ أيضًا.
EI	E_81-100	description	EI.E_81-100.dim.9	Demands public approval of their actions, seeking praise, admiration, compliments, and even outright flattery.	Требует публичного одобрения своих действий, похвалы, восхищения, комплиментов и даже лести.	Exige aprobación pública de sus acciones, buscando elogios, admiración, cumplidos e incluso adulación descarada.	Exige l'approbation publique de ses actions, en quête de louanges, d'admiration, de compliments et même de flatterie ouverte.	يطالب بالموافقة العلنية على أفعاله، ويسعى إلى نيل المديح والإعجاب والمجاملات بل والإطراء المبالغ فيه.
EI	E_61-80	band-label	EI.E_61-80.label	Strong Extravert	Сильный Экстраверт	Extravertido Fuerte	Extraverti Prononcé	منفتح قوي
EI	E_61-80	description	EI.E_61-80.dim.0	Answers questions immediately without pausing and expects the same from others.	Отвечает на вопросы сразу, без паузы, от других требует того же.	Responde preguntas de inmediato, sin pausa, y espera lo mismo de los demás.	Répond aux questions immédiatement, sans pause, et attend la même réactivité des autres.	يجيب على الأسئلة فوراً دون تردد، ويتوقع الأمر ذاته من الآخرين.
EI	E_61-80	description	EI.E_61-80.dim.1	Prefers spending time in large groups, has a vast number of acquaintances and many friends.	Предпочитает проводить время в больших компаниях, огромное количество знакомых и много друзей.	Prefiere pasar el tiempo en grupos grandes, tiene una gran cantidad de conocidos y muchos amigos.	Préfère passer du temps en grands groupes, possède un vaste réseau de connaissances et de nombreux amis.	يفضل قضاء وقته في مجموعات كبيرة، ولديه عدد كبير من المعارف والأصدقاء.
EI	E_61-80	description	EI.E_61-80.dim.2	If a situation is unsatisfactory, will take vigorous action to change it and try to draw everyone's attention to it.	Если ситуация его не устраивает, то разовьёт бурную деятельность по её изменению, постарается привлечь внимание всех к ситуации.	Si una situación no le satisface, emprenderá acciones enérgicas para cambiarla e intentará atraer la atención de todos hacia ella.	Si une situation ne lui convient pas, il déploiera une activité intense pour la changer et cherchera à attirer l'attention de tous sur elle.	إذا لم تُرضِه الأوضاع، يتحرك بنشاط لتغييرها ويسعى إلى لفت انتباه الجميع إليها.
EI	E_61-80	description	EI.E_61-80.dim.3	Many people see them as an uninhibited, confident person with no complexes.	Многие люди считают его раскрепощённым человеком, без комплексов.	Muchas personas lo perciben como alguien desinhibido y seguro de sí mismo, sin complejos.	De nombreuses personnes le perçoivent comme quelqu'un de désinhibé et sûr de lui, sans complexes.	يراه كثيرون شخصاً منطلقاً وواثقاً من نفسه وخالياً من العُقد.
EI	E_61-80	description	EI.E_61-80.dim.4	Easily picks up a conversation after being interrupted, and often interrupts others or takes phone calls in the middle of a discussion.	Легко продолжит беседу если его прервут, также часто сам прерывает людей и отвлекается на телефонные звонки во время беседы.	Retoma fácilmente una conversación tras una interrupción, y con frecuencia interrumpe a los demás o atiende llamadas telefónicas en medio de una charla.	Reprend facilement une conversation après une interruption, interrompt souvent les autres et décroche son téléphone en pleine discussion.	يستأنف المحادثة بسهولة بعد أي انقطاع، وكثيراً ما يقاطع الآخرين أو يرد على المكالمات في خضم النقاش.
EI	E_61-80	description	EI.E_61-80.dim.5	Enjoys meetings, attends all of them, sometimes initiates them, frequently speaks up, and gains an emotional boost from them.	Любит собрания, посещает все, иногда сам инициирует, часто высказывается на собраниях, получает эмоциональный заряд.	Disfruta de las reuniones, asiste a todas ellas, a veces las convoca él mismo, participa activamente y obtiene energía emocional de ellas.	Apprécie les réunions, y assiste toutes, en prend parfois l'initiative, s'y exprime fréquemment et en tire une énergie émotionnelle.	يحب الاجتماعات ويحضر جميعها، وأحياناً يبادر إلى عقدها، ويتحدث فيها كثيراً ويستمد منها طاقة معنوية.
EI	E_61-80	description	EI.E_61-80.dim.6	Regularly shares their thoughts and ideas with those around them.	Часто делится своими мыслями и идеями с окружающими.	Comparte habitualmente sus pensamientos e ideas con quienes le rodean.	Partage régulièrement ses pensées et ses idées avec son entourage.	يشارك أفكاره وآراءه مع المحيطين به بصفة منتظمة.
EI	E_61-80	description	EI.E_61-80.dim.7	Takes part in all conversations, talks a great deal, and often initiates discussions themselves.	Принимает участие во всех беседах, много говорит, многие разговоры инициирует сам.	Participa en todas las conversaciones, habla mucho y frecuentemente las inicia él mismo.	Participe à toutes les conversations, parle beaucoup et en initie souvent lui-même.	يشارك في جميع المحادثات، ويتكلم كثيراً، وكثيراً ما يكون هو من يبدأها.
EI	E_61-80	description	EI.E_61-80.dim.8	Thinks out loud, naturally drawing listeners in.	Рассуждает вслух, привлекая к себе слушателей.	Piensa en voz alta, atrayendo naturalmente a los oyentes.	Réfléchit à voix haute, attirant naturellement l'attention des auditeurs.	يفكر بصوت عالٍ، مما يجذب المستمعين إليه بشكل طبيعي.
EI	E_61-80	description	EI.E_61-80.dim.9	Appreciates frequent praise from managers, colleagues, and subordinates, especially when given verbally.	Любит частую похвалу от руководства, коллег, подчинённых, особенно в устной форме.	Aprecia los elogios frecuentes de superiores, colegas y subordinados, especialmente de forma verbal.	Apprécie les compliments fréquents de la part de sa hiérarchie, de ses collègues et de ses subordonnés, surtout lorsqu'ils sont exprimés oralement.	يقدّر الثناء المتكرر من رؤسائه وزملائه ومرؤوسيه، ولا سيما حين يكون شفهياً.
EI	E_41-60	band-label	EI.E_41-60.label	Pronounced Extrovert	Выраженный Экстраверт	Extrovertido Pronunciado	Extraverti Prononcé	منفتح واضح
EI	E_41-60	description	EI.E_41-60.dim.0	Responds to questions very quickly and prefers others to reply promptly as well.	На вопросы отвечает очень быстро, любит когда ему отвечают также.	Responde a las preguntas muy rápidamente y prefiere que los demás también respondan con prontitud.	Répond aux questions très rapidement et préfère que les autres fassent de même.	يجيب على الأسئلة بسرعة كبيرة ويفضل أن يرد الآخرون عليه بنفس السرعة.
EI	E_41-60	description	EI.E_41-60.dim.1	Enjoys spending time in large social groups and has many friends.	Любит проводить время в больших компаниях, много друзей.	Disfruta pasar tiempo en grupos sociales grandes y tiene muchos amigos.	Aime passer du temps en grands groupes sociaux et a de nombreux amis.	يستمتع بقضاء الوقت في مجموعات اجتماعية كبيرة ولديه أصدقاء كثيرون.
EI	E_41-60	description	EI.E_41-60.dim.2	When dissatisfied with a situation, actively seeks to change it.	Если ситуация его не устраивает, то старается изменить её.	Cuando una situación no le satisface, busca activamente cambiarla.	Lorsqu'une situation ne lui convient pas, il cherche activement à la changer.	عندما لا تعجبه الأوضاع، يسعى بنشاط إلى تغييرها.
EI	E_41-60	description	EI.E_41-60.dim.3	Some people perceive them as uninhibited and free from self-consciousness.	Часть людей считают его раскрепощённым, человеком без комплексов.	Algunas personas lo perciben como desinhibido y sin complejos.	Certaines personnes le perçoivent comme désinhibé et sans complexes.	يراه بعض الناس شخصًا منطلقًا وخاليًا من العقد النفسية.
EI	E_41-60	description	EI.E_41-60.dim.4	Does not notice being interrupted during a conversation and may easily switch to an incoming phone call.	Не замечает, если его прерывают во время беседы, при входящем звонке может переключиться на телефонный разговор.	No le molesta que lo interrumpan durante una conversación y puede cambiar fácilmente a una llamada entrante.	Ne remarque pas les interruptions pendant une conversation et peut facilement basculer vers un appel entrant.	لا يلاحظ حين يُقاطَع أثناء المحادثة، وقد ينتقل بسهولة للرد على مكالمة واردة.
EI	E_41-60	description	EI.E_41-60.dim.5	Enjoys frequent meetings, often speaks up at them, and gains energy from the experience.	Любит частые собрания, часто выступает на них, эмоционально заряжается.	Disfruta de las reuniones frecuentes, suele tomar la palabra en ellas y obtiene energía de la experiencia.	Apprécie les réunions fréquentes, prend souvent la parole et en tire de l'énergie.	يحب الاجتماعات المتكررة، وكثيرًا ما يتحدث فيها ويستمد منها طاقته.
EI	E_41-60	description	EI.E_41-60.dim.6	Regularly shares their thoughts and ideas with those around them.	Периодически делится своими мыслями и идеями с окружающими.	Comparte regularmente sus pensamientos e ideas con quienes lo rodean.	Partage régulièrement ses pensées et ses idées avec son entourage.	يشارك أفكاره وآراءه بانتظام مع من حوله.
EI	E_41-60	description	EI.E_41-60.dim.7	Prefers talking over listening in conversations and often initiates discussions.	В беседе предпочитает больше говорить, чем слушать, часто инициирует разговоры сам.	Prefiere hablar más que escuchar en las conversaciones y a menudo toma la iniciativa para iniciarlas.	Préfère parler plutôt qu'écouter dans les conversations et prend souvent l'initiative de les lancer.	يفضل الكلام على الاستماع في المحادثات وكثيرًا ما يبادر إلى بدئها.
EI	E_41-60	description	EI.E_41-60.dim.8	Tends to think out loud, verbalizing thoughts as a way of processing them.	Для обдумывания часто озвучивает мысли — думает вслух.	Tiende a pensar en voz alta, verbalizando sus ideas como forma de procesarlas.	A tendance à penser à voix haute, en verbalisant ses idées pour les traiter.	يميل إلى التفكير بصوت عالٍ، إذ يُعبّر عن أفكاره لفظيًا أثناء معالجتها.
EI	E_41-60	description	EI.E_41-60.dim.9	Enjoys public praise, especially when it is given verbally.	Любит публичную похвалу, особенно устную.	Disfruta del elogio público, especialmente cuando se expresa de forma verbal.	Aime les compliments publics, surtout lorsqu'ils sont exprimés verbalement.	يحب الثناء العلني عليه، ولا سيما حين يكون شفهيًا.
EI	E_21-40	band-label	EI.E_21-40.label	Moderate Extravert	Умеренный Экстраверт	Extrovertido Moderado	Extraverti Modéré	انبساطي معتدل
EI	E_21-40	description	EI.E_21-40.dim.0	Responds quickly and dislikes having to wait long for replies from others.	На вопросы отвечает быстро, также не любит долгих ожиданий ответов от собеседника.	Responde rápidamente y no le gusta esperar mucho tiempo por las respuestas de los demás.	Répond rapidement et n'aime pas attendre longtemps les réponses de son interlocuteur.	يرد بسرعة ولا يحب الانتظار طويلاً للحصول على ردود من الآخرين.
EI	E_21-40	description	EI.E_21-40.dim.1	Enjoys spending time in social settings, knows many people, and has an active circle of friends.	Любит проводить время в компаниях, знает много людей, есть друзья.	Disfruta pasar tiempo en entornos sociales, conoce a mucha gente y tiene un círculo activo de amigos.	Apprécie passer du temps en société, connaît beaucoup de personnes et entretient un cercle d'amis actif.	يستمتع بقضاء الوقت في البيئات الاجتماعية، ويعرف كثيراً من الناس، ولديه دائرة واسعة من الأصدقاء.
EI	E_21-40	description	EI.E_21-40.dim.2	If a situation is unsatisfactory and feels it can be changed, will make an effort to change it.	Если ситуация его не устраивает и при этом понимает, что ему под силу её изменить, будет пробовать менять.	Si una situación no le satisface y siente que puede cambiarla, hará el esfuerzo de hacerlo.	Si une situation ne lui convient pas et qu'il estime pouvoir la changer, il fera des efforts pour y remédier.	إذا لم تعجبه وضعية معينة وشعر أنه قادر على تغييرها، فإنه يبذل جهداً لتغييرها.
EI	E_21-40	description	EI.E_21-40.dim.3	Some people perceive them as an open and uninhibited person.	Некоторые люди считают его раскрепощённым человеком.	Algunas personas lo perciben como una persona abierta y desinhibida.	Certaines personnes le perçoivent comme quelqu'un d'ouvert et de désinhibé.	يراه بعض الناس شخصاً منفتحاً وغير متحفظ.
EI	E_21-40	description	EI.E_21-40.dim.4	Does not mind being interrupted during a conversation, and will occasionally interrupt others themselves.	Не переживает, если его прервут во время беседы, иногда может позволить себе прервать собеседника.	No le molesta que lo interrumpan durante una conversación y ocasionalmente él mismo interrumpe a los demás.	Ne se formalise pas d'être interrompu en pleine conversation et peut lui-même se permettre d'interrompre son interlocuteur.	لا يضايقه أن يُقاطَع أثناء المحادثة، وقد يسمح لنفسه أحياناً بمقاطعة الآخرين.
EI	E_21-40	description	EI.E_21-40.dim.5	Tries not to miss group meetings, sometimes speaks up at them, and tends to leave in a better mood.	Старается не пропускать собрания, иногда выступает на них, после собрания улучшается настроение.	Intenta no perderse las reuniones grupales, a veces toma la palabra en ellas y suele irse con mejor ánimo.	S'efforce de ne pas manquer les réunions de groupe, prend parfois la parole lors de celles-ci et en repart généralement de bonne humeur.	يحرص على حضور الاجتماعات الجماعية، وأحياناً يتحدث فيها، وعادةً ما يغادرها بمزاج أفضل.
EI	E_21-40	description	EI.E_21-40.dim.6	Readily shares their thoughts and ideas with those around them.	Легко делится своими мыслями и идеями с окружающими.	Comparte con facilidad sus pensamientos e ideas con quienes le rodean.	Partage aisément ses pensées et ses idées avec son entourage.	يشارك بسهولة أفكاره وآراءه مع من حوله.
EI	E_21-40	description	EI.E_21-40.dim.7	Can play both speaker and listener in a conversation, though more often takes the speaking role and sometimes initiates discussions.	В беседе может выступать как спикером, так и слушателем, но чаще спикером, иногда сам инициирует разговор.	Puede actuar tanto de orador como de oyente en una conversación, aunque más frecuentemente toma el rol de orador y a veces inicia los diálogos.	Peut jouer aussi bien le rôle d'orateur que celui d'auditeur dans une conversation, bien qu'il prenne plus souvent la parole et initie parfois les échanges.	يستطيع أن يكون متحدثاً أو مستمعاً في المحادثة، غير أنه يميل في الغالب إلى دور المتحدث وقد يبادر أحياناً إلى بدء الحوار.
EI	E_21-40	description	EI.E_21-40.dim.8	May think a task through by talking it out loud to make it easier to handle.	Для облегчения задачи может её проговорить вслух.	Puede abordar una tarea hablándola en voz alta para facilitarse su resolución.	Peut clarifier une tâche en la verbalisant à voix haute pour en faciliter la réalisation.	قد يُسهّل على نفسه أداء مهمة ما بالتفكير فيها بصوت عالٍ.
EI	E_21-40	description	EI.E_21-40.dim.9	Praise, especially public recognition, serves as a strong source of motivation.	Похвала, особенно публичная, вдохновляет на работу.	Los elogios, especialmente el reconocimiento público, son una fuente poderosa de motivación para él.	Les compliments, en particulier la reconnaissance publique, constituent une source de motivation importante pour lui.	يجد في الثناء، ولا سيما الاعتراف العلني، مصدراً قوياً للتحفيز والإلهام.
EI	E_1-20	band-label	EI.E_1-20.label	Mild Extravert	Слабый Экстраверт	Extrovertido Leve	Extraverti Modéré	انبساطي خفيف
EI	E_1-20	description	EI.E_1-20.dim.0	Responds to questions without hesitation.	С ответом на вопрос не задерживается.	Responde a las preguntas sin demora.	Répond aux questions sans hésitation.	يجيب على الأسئلة دون تردد أو تأخير.
EI	E_1-20	description	EI.E_1-20.dim.1	Enjoys spending time with others and has a few acquaintances and friends.	Не против провести время в компании, есть знакомые и немного друзей.	Disfruta pasar tiempo en compañía y tiene algunos conocidos y amigos.	Apprécie passer du temps en compagnie et a quelques connaissances et amis.	يستمتع بقضاء الوقت مع الآخرين ولديه بعض المعارف والأصدقاء.
EI	E_1-20	description	EI.E_1-20.dim.2	Does not hide dissatisfaction when a situation does not suit them.	Если ситуация его не устраивает, то не будет этого скрывать.	No oculta su insatisfacción cuando una situación no le conviene.	N'hésite pas à exprimer son mécontentement lorsqu'une situation ne lui convient pas.	لا يخفي استياءه عندما لا تناسبه الأوضاع.
EI	E_1-20	description	EI.E_1-20.dim.3	Tends to behave in a relaxed rather than reserved manner.	Чаще ведёт себя раскрепощённо, чем сдержанно.	Tiende a comportarse de manera relajada más que reservada.	A tendance à se comporter de manière détendue plutôt que réservée.	يميل إلى التصرف بأسلوب منفتح ومرتاح أكثر من كونه متحفظاً.
EI	E_1-20	description	EI.E_1-20.dim.4	If interrupted during a conversation, can usually pick up where they left off with ease.	Если его прервали во время беседы, то обычно легко может продолжить разговор.	Si lo interrumpen durante una conversación, generalmente puede retomar el hilo con facilidad.	Si on l'interrompt en pleine conversation, il peut généralement reprendre le fil sans difficulté.	إذا قُطع حديثه، فإنه عادةً ما يستطيع استكمال المحادثة بسهولة.
EI	E_1-20	description	EI.E_1-20.dim.5	Attends important meetings but may skip less significant ones, and occasionally speaks up.	Посещает важные собрания, неважные может и пропустить, иногда высказывается на собраниях.	Asiste a reuniones importantes pero puede saltarse las menos relevantes, y en ocasiones toma la palabra.	Assiste aux réunions importantes mais peut manquer les moins importantes, et prend parfois la parole.	يحضر الاجتماعات المهمة وقد يتغيب عن الأقل أهمية، ويُبدي رأيه أحياناً.
EI	E_1-20	description	EI.E_1-20.dim.6	Sometimes shares their ideas and thoughts with those around them.	Бывает, что делится своими идеями и мыслями с окружающими.	A veces comparte sus ideas y pensamientos con quienes lo rodean.	Partage parfois ses idées et ses réflexions avec son entourage.	يشارك أفكاره وآراءه مع المحيطين به من حين لآخر.
EI	E_1-20	description	EI.E_1-20.dim.7	Speaks calmly and moderately during conversations, mostly stays on topic, listens attentively, and occasionally initiates discussion.	Во время беседы спокойно, но умеренно говорит, в основном по существу, внимательно слушает, иногда сам инициирует разговор.	Habla de forma tranquila y moderada en las conversaciones, se centra en lo esencial, escucha con atención y a veces toma la iniciativa.	S'exprime calmement et modérément lors des conversations, reste généralement dans le vif du sujet, écoute attentivement et prend parfois l'initiative d'engager la discussion.	يتحدث بهدوء واعتدال خلال المحادثات، ويلتزم عادةً بصلب الموضوع، ويستمع باهتمام، وأحياناً يبادر إلى بدء الحوار.
EI	E_1-20	description	EI.E_1-20.dim.8	When faced with a difficult task, may think it through by speaking it aloud.	Если задача сложная, то может произнести её вслух.	Ante una tarea difícil, puede verbalizarla en voz alta para procesarla.	Face à une tâche difficile, il peut être amené à la formuler à voix haute.	عند مواجهة مهمة صعبة، قد يلجأ إلى صياغتها بصوت عالٍ للتفكير فيها.
EI	E_1-20	description	EI.E_1-20.dim.9	Does not mind receiving public recognition for their work.	Не против публичной похвалы за дело.	No le importa recibir reconocimiento público por su trabajo.	Ne voit pas d'inconvénient à être reconnu publiquement pour son travail.	لا يمانع تلقّي الإشادة العلنية تقديراً لعمله.
EI	balanced_0-0	band-label	EI.balanced_0-0.label	Ambivert	Амбиверт	Ambiverto	Ambivert	شخصية انبساطية-انطوائية
EI	balanced_0-0	description	EI.balanced_0-0.dim.0	Usually responds to questions quickly, but may take a moment to think when the question is complex.	Обычно быстро отвечает на вопрос, если вопрос сложный — может немного подумать.	Por lo general responde rápidamente a las preguntas, aunque puede tomarse un momento para reflexionar si la pregunta es compleja.	Répond généralement rapidement aux questions, mais peut prendre un moment pour réfléchir si la question est complexe.	يستجيب للأسئلة بسرعة في الغالب، لكنه قد يأخذ لحظة للتفكير إذا كان السؤال معقداً.
EI	balanced_0-0	description	EI.balanced_0-0.dim.1	Prefers spending time in small to medium-sized groups and maintains a moderate number of close friendships.	Предпочитает проводить время в компаниях не слишком больших, разумное количество друзей.	Prefiere pasar tiempo en grupos pequeños o medianos y mantiene un número moderado de amistades cercanas.	Préfère passer du temps dans des groupes de taille moyenne et entretient un nombre modéré d'amitiés proches.	يفضّل قضاء وقته في مجموعات صغيرة إلى متوسطة الحجم، ويحتفظ بعدد معتدل من الصداقات المقرّبة.
EI	balanced_0-0	description	EI.balanced_0-0.dim.2	Whether to change a situation or adapt to it depends on how dissatisfied they feel with current circumstances.	Реакция на ситуацию — менять или подстраиваться — зависит от степени неудовлетворённости текущей ситуацией.	La decisión de cambiar una situación o adaptarse a ella depende de cuán insatisfecho se sienta con las circunstancias actuales.	La décision de changer une situation ou de s'y adapter dépend du degré d'insatisfaction ressenti face aux circonstances actuelles.	يتوقف قراره بتغيير الوضع أو التكيّف معه على مدى شعوره بعدم الرضا عن الظروف الراهنة.
EI	balanced_0-0	description	EI.balanced_0-0.dim.3	Their level of openness or reserve varies depending on the situation.	Раскрепощённость или замкнутость зависит от ситуации.	Su nivel de apertura o reserva varía según la situación.	Son niveau d'ouverture ou de réserve varie selon la situation.	تتفاوت درجة انفتاحه أو تحفّظه بحسب طبيعة الموقف.
EI	balanced_0-0	description	EI.balanced_0-0.dim.4	In engaging conversations, they try not to interrupt the other person.	В интересных разговорах старается не прерывать собеседника.	En conversaciones interesantes, procura no interrumpir a su interlocutor.	Dans les conversations intéressantes, il s'efforce de ne pas interrompre son interlocuteur.	في المحادثات الشيّقة، يحرص على عدم مقاطعة محدّثه.
EI	balanced_0-0	description	EI.balanced_0-0.dim.5	Feels comfortable at meetings and may speak up on their own initiative.	Спокойно относится к собраниям, может выступить по своей инициативе.	Se siente cómodo en reuniones y puede tomar la palabra por iniciativa propia.	Se sent à l'aise lors des réunions et peut prendre la parole de sa propre initiative.	يشعر بالارتياح في الاجتماعات، وقد يتطوّع بالكلام من تلقاء نفسه.
EI	balanced_0-0	description	EI.balanced_0-0.dim.6	Willing to share thoughts and ideas with trusted people in their inner circle.	Может делиться своими мыслями и идеями с доверительным окружением.	Está dispuesto a compartir sus pensamientos e ideas con personas de confianza de su círculo cercano.	Prêt à partager ses pensées et ses idées avec les personnes de confiance de son entourage proche.	مستعدّ لمشاركة أفكاره وآرائه مع الأشخاص الذين يثق بهم في دائرته المقرّبة.
