surface	key	en	ru
Landing	chip5	Careers you'd genuinely excel in	Карьеры, в которых вы будете эффективны
Landing	chip6	Three experiments to try this month	Три эксперимента на ближайший месяц
Landing	passport_page	Page 14 / 24	Страница 14 / 24
Landing	passport_section	Section · Decisions	Раздел · Решения
Landing	passport_quote	"Lisa makes decisions after sitting with two good options. Rushed choices go poorly.	«Маша принимает решения, посидев с двумя хорошими вариантами. Поспешные выборы идут плохо.
Landing	passport_bold	Give her a night	Дайте ей ночь
Landing	passport_footer1	PsyID · Psychological Passport	PsyID · Психологический паспорт
Landing	passport_conf	Confidence · 0.82	Уверенность · 0.82
Landing	stats_tag	Methodology	Методология
Landing	stats_h2	Rigorous where it matters.	Строго там, где это важно.
Landing	stats_p	Every item went through two rounds of expert review and field testing. No labels — just patterns.	Каждый пункт прошёл два круга экспертизы и серию полевых проверок. Никаких ярлыков — только паттерны.
Landing	stat1_l	character axes calibrated for adult life and careers	оси характера, адаптированные под взрослую жизнь и карьеру
Landing	stat2_l	psychologists review every statement	психолога рецензируют каждое утверждение
Landing	stat3_l	people in the pre-release sample	человек в выборке до релиза
Landing	stat4_l	average confidence score across passport statements	средняя уверенность утверждений в паспорте
Landing	testi_q	"I expected another personality test. I got a document that finally explains how I think — and what I should be doing with my career."	«Я ждала очередного теста. И получила документ, который наконец объясняет, как я думаю — и куда мне идти в карьере».
Landing	testi_author	Masha K.	Маша К.
Landing	testi_meta	designer · Tbilisi	дизайнер · Тбилиси
Landing	price_tag	Pricing	Цена
Landing	price_h2a	Two ways to	Два способа
Landing	price_h2b	start	начать
Landing	price_sub	No subscription. Free delivery in Russia and Georgia.	Без подписки. Бесплатная доставка в РФ и Грузии.
Landing	plan1_name	Standard	Стандарт
Landing	plan1_price	₽4 900	₽4 900
Landing	plan1_sub	Complete passport — digital and print.	Полный паспорт — печатный и цифровой.
Landing	plan1_f1	24-page psychological passport	24-страничный психологический паспорт
Landing	plan1_f2	Print version — delivery in 5 days	Печатная версия — доставка за 5 дней
Landing	plan1_f3	Digital version + shareable card	Цифровая версия + карточка для пересылки
Landing	plan1_f4	List of 3 experiments to try this month	Список из 3 экспериментов на месяц
Landing	plan1_cta	Start →	Начать →
Landing	plan2_name	Passport + Consultation	Паспорт + консультация
Landing	plan2_price	₽7 900	₽7 900
Landing	plan2_sub	Everything in Standard, plus a session with a psychology-trained career consultant.	Всё из Стандарта, плюс сессия с карьерным психологом.
Landing	plan2_badge	Recommended	Рекомендуем
Landing	plan2_f1	Everything in Standard	Всё из «Стандарта»
Landing	plan2_f2	45-minute consultation with a psychologist	45-минутная консультация с психологом
Landing	plan2_f3	Career next-steps plan	План карьерных следующих шагов
Landing	plan2_f4	30 days of email support	Поддержка по почте в течение 30 дней
Landing	plan2_cta	Start →	Начать →
Landing	faq_tag	FAQ	Вопросы
Landing	faq_h2a	Questions people	То, что нас
Landing	faq_h2b	ask	спрашивают
Landing	faq_h2c	most often.	чаще всего.
Landing	faq_p	The things people write to us before taking the assessment.	То, о чём пишут до того, как пройти тест.
Landing	faq_q1	Isn't this just another MBTI test?	Это не очередной тест MBTI?
Landing	faq_a1	No. MBTI gives you a label. PsyID is a 24-page document reviewed by psychologists. Every statement is grounded in your specific answers and comes with a confidence score — so you always know how certain we are.	Нет. MBTI даёт ярлык. PsyID — это 24-страничный документ, прошедший экспертизу психологов. Каждое утверждение опирается на ваши конкретные ответы и сопровождается оценкой уверенности — вы всегда знаете, насколько мы в этом уверены.
Landing	faq_q2	Won't this box me in?	Не загонит ли это меня в рамки?
Landing	faq_a2	That's our concern too. The passport is a starting point, not a verdict. It opens a conversation: "here's what we noticed, here's what to try." You change and grow — it says so on the first page.	Это наш страх тоже. Паспорт — стартовая точка, а не приговор. Он открывает разговор: «вот что мы заметили, вот что можно попробовать». Вы меняетесь — об этом написано на первой странице.
Landing	faq_q3	Is this for career changers or people just starting out?	Это для смены карьеры или тех, кто только начинает?
Landing	faq_a3	Both — and everyone in between. Whether you're switching careers, choosing your first path, or just wanting more clarity about yourself, the passport meets you where you are.	Для всех — и для тех, кто посередине. Смена карьеры, первый выбор направления или просто желание лучше понять себя — паспорт встречает вас там, где вы сейчас.
Landing	faq_q4	How long does it take?	Сколько занимает тест?
Landing	faq_a4	About 15 minutes on any screen. Digital passport arrives the same day; the printed version within five days.	Около 15 минут на любом экране. Цифровой паспорт — в тот же день, печатный — в течение пяти дней.
Landing	faq_q5	Who can see my results?	Кто увидит результаты?
Landing	faq_a5	Only you. Your data is private by default. You decide whether to share your card with anyone — we never publish or sell anything, ever.	Только вы. По умолчанию данные приватны. Вы сами решаете, делиться ли с кем-то — мы не публикуем и не продаём ничего никогда.
Landing	cta_h2a	Give yourself a chance to	Дайте себе шанс
Landing	cta_h2b	know yourself	понять себя
Landing	cta_p	15 minutes today — a map you'll use for years. The assessment is free.	15 минут сегодня — карта, которой можно пользоваться годами. Тест бесплатный.
Landing	cta_btn	Take the free assessment ↗	Пройти тест бесплатно ↗
Landing	cta_sample	View sample	Смотреть пример
Landing	foot_tagline	Your psychological passport. Built with psychologists.	Ваш психологический паспорт. Разработан вместе с психологами.
Landing	foot_prod	Product	Продукт
Landing	foot_comp	Company	Компания
Landing	foot_contact	Contact	Связаться
Landing	foot_link_how	How it works	Как это работает
Landing	foot_link_explore	Explore	Попробовать
Landing	foot_link_passport	Passport	Паспорт
Landing	foot_link_price	Pricing	Цены
Landing	foot_link_about	About us	О нас
Landing	foot_link_method	Methodology	Методология
Landing	foot_link_schools	For Organizations	Для организаций
Landing	foot_link_journal	Blog	Журнал
Landing	foot_link_email	support@psyid.me	support@psyid.me
Landing	foot_link_tg	Telegram	Telegram
Landing	foot_link_ig	Instagram	Instagram
Landing	foot_link_press	Press Kit	Пресс-кит
Landing	foot_copy	© 2026 PsyID · psyid.me	© 2026 PsyID · psyid.me
Landing	foot_legal	Privacy · Terms	Приватность · Условия
Landing	foot_admin	Admin Portal	Портал администратора
Landing	lang_toggle	RU	EN
